
Rk,Name,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
256,Bilal Powell,NYJ,26,,15,1,15,11,92,8.4,0,20,0.7,6.1,0
257,Stepfan Taylor,ARI,23,,14,4,15,11,79,7.2,3,18,0.8,5.6,0
258,Terrance West,CLE,23,rb,14,6,13,11,64,5.8,1,11,0.8,4.6,2
259,Darrel Young,WAS,27,RB,16,10,14,11,81,7.4,2,20,0.7,5.1,0
260,LeGarrette Blount,2TM,28,,16,1,12,10,54,5.4,0,13,0.6,3.4,1
261,Ed Dickson,CAR,27,TE,16,10,17,10,115,11.5,1,34,0.6,7.2,1
262,Crockett Gillmore,BAL,23,,15,1,15,10,121,12.1,1,22,0.7,8.1,0
263,Ryan Griffin,HOU,24,,16,2,16,10,91,9.1,1,25,0.6,5.7,0
264,Ryan Hewitt,CIN,23,TE,16,11,15,10,86,8.6,0,19,0.6,5.4,0
265,Peyton Hillis,NYG,28,,9,0,16,10,87,8.7,0,26,1.1,9.7,0
266,Josh Morgan,CHI,29,wr,14,7,19,10,70,7.0,1,13,0.7,5.0,0
267,Santana Moss,WAS,35,,10,0,15,10,116,11.6,0,19,1.0,11.6,0
268,Brandon Pettigrew,DET,29,TE,14,9,15,10,70,7.0,0,13,0.7,5.0,0
269,Anthony Sherman,KAN,26,rb,16,6,14,10,71,7.1,1,24,0.6,4.4,0
Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
270,Eric Weems,ATL,29,,16,0,11,10,102,10.2,2,40,0.6,6.4,0
271,Montee Ball,DEN,24,,5,3,13,9,62,6.9,0,16,1.8,12.4,1
272,Joe Banyard,MIN,26,,15,0,11,9,62,6.9,0,12,0.6,4.1,0
273,Derek Carrier,SFO,24,,11,1,14,9,105,11.7,0,23,0.8,9.5,1
274,Isaiah Crowell,CLE,21,,16,4,14,9,87,9.7,0,19,0.6,5.4,3
275,Patrick DiMarco,ATL,25,rb,16,7,14,9,62,6.9,1,16,0.6,3.9,0
276,Gavin Escobar,DAL,23,,16,1,13,9,105,11.7,4,26,0.6,6.6,0
277,MarQueis Gray,2TM,25,,13,5,,9,134,14.9,0,41,0.7,10.3,0
278,Rob Housler,ARI,26,te,15,7,17,9,129,14.3,0,27,0.6,8.6,1
